ticker,CAR,SE_CAR,T,P
goog,-.0345605868470237,.080020688,-.43189564,.6741612
msft,.0472930918819052,.054560941,.86679393,.40456614
ma,-.1527344470109992,.053824078,-2.8376603,.016149323
hd,.012771427439496,.074712515,.17094094,.867374
