period,sharpe,sortino,alpha_capm,p_capm
pre,1.392847454202314,2.6374016,.0092677521,.0061826259
rec,-.1967574187827066,-.37173927,.024490792,.0023437541
era,1.854765584858452,3.6696067,.0088200327,.044733714
post,.329963228047404,.47262353,.00037852229,.92962909
